Npp;Name;PlacePoint;StartRoutePoints;Type;Direction;Colors;MainSignal
71;Light_I_CH;Point_I_CH;Point_I_CH;E_SigType.NeighbourStationInTrain;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G, E_SigColor.W];
72;Light_I_CHR;Point_I_CHR;Point_I_CHR;E_SigType.NeighbourStationInTrain;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.Y, E_SigColor.W];
73;Light_I_CHDR;Point_I_CHDR;Point_I_CHDR;E_SigType.NeighbourStationInTrain;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.Y];
74;Light_I_2_2;Point_I_2_2;Point_2N12P_2N14P;E_SigType.AB;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
75;Light_I_4_2;Point_I_4_2;Point_2N6P_2N8P;E_SigType.AB;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
76;Light_I_6_2;Point_I_6_2;Point_I_6_2;E_SigType.AB;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
77;Light_I_2_4;Point_I_2_4;Point_4N6P_4N8P;E_SigType.AB;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
78;Light_I_4_4;Point_I_4_4;Point_I_4_4;E_SigType.AB;E_Direct.Plus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
79;Light_I_1_1;Point_I_1_1;Point_1N5P_1N7P;E_SigType.AB;E_Direct.Minus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
80;Light_I_3_1;Point_I_3_1;Point_1N11P_1N13P;E_SigType.AB;E_Direct.Minus;[E_SigColor.R, E_SigColor.Y, E_SigColor.G];
81;Light_PCHK;Point_PCHK;;E_SigType.Warning;E_Direct.Plus;[E_SigColor.Y, E_SigColor.G];Light_CHK
